,AF3,AF4,Fp1,AF7,AF8
0,9.17813016618148e-05,0.0027682163812913765,-0.0016555844108134652,-0.002585295565819548,0.0014955850494787139
1,0.006145078656622582,0.011182507931832735,0.006967143357058351,0.0031635421486150505,0.009840002875135414
2,0.01273868853716607,0.02004790586202639,0.015991147933778333,0.012048532319301189,0.023533880745933045
3,0.01665844235590359,0.024343549528398654,0.021022521989187724,0.019324627176877645,0.035726159097018435
4,0.017444327716178643,0.02311924215232923,0.02092743056029075,0.022054698458134778,0.041872427861600156
5,0.016786721065866213,0.019597722784598037,0.01774122255138141,0.020340632286739217,0.04245968532720228
6,0.015146960799336058,0.015940376709536193,0.01324618921935926,0.01560597238313199,0.03917064022868106
7,0.011253103602728578,0.011716989711122979,0.007437322163139304,0.008490989950742728,0.03291797718675391
8,0.007590869871803651,0.009164490558428292,0.0034803283148600035,0.0014468866659097536,0.02763789997294261
9,0.00638921849798419,0.009205390651740595,0.0030018721604549254,-0.003714525027450773,0.0251880862227962
10,0.009251368504395764,0.013141949307565085,0.0070193656169681515,-0.006240779946592681,0.02772825734837592
11,0.016539729401783245,0.021785351293833823,0.01635246266895259,-0.006175247103879056,0.036882521654865476
12,0.020739022362307562,0.02677351010128112,0.02306777604367987,-0.006569117446031898,0.04284100072472407
13,0.018084426850719888,0.02401492444193497,0.022413027255562715,-0.007102621639363153,0.03925449130433558
14,0.016070880642563075,0.0221307001539011,0.021602384242823108,-0.0036477778461179704,0.03499526236224595
15,0.01871160756316371,0.02554139999542921,0.02423660538251876,0.0018008465118565262,0.03647079368189124
16,0.021737127669832927,0.0292751379865017,0.02569358366440039,0.002743417382274468,0.039716955795890324
17,0.021855736844159174,0.02948362083138196,0.023305556661906937,-0.0026838229701866153,0.04031854048015306
18,0.01937017499800124,0.026772262680274207,0.018540925704257402,-0.011340408340956565,0.038291237863163574
19,0.015791051991708677,0.02325192333033043,0.013303600221885375,-0.019577111686638157,0.03518200844880948
20,0.01263454557923041,0.020702830913948294,0.008524388415286126,-0.025663502608202615,0.03195253340054915
21,0.010553505675406397,0.0195024412538461,0.00492564009476179,-0.028690246093782006,0.028937930512495748
22,0.009077989369680052,0.018460148593621342,0.0026728253987060137,-0.027970773864841564,0.02550679074168737
