,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.0209907274693251,-0.0450362972915173,-0.163268223404884,-0.191935867071152,-0.161903440952301,-0.13202902674675
1,-0.0181671194732189,-0.0484906956553459,-0.165131911635399,-0.196395874023438,-0.157531440258026,-0.138669416308403
2,-0.0156911164522171,-0.0528520010411739,-0.16815273463726,-0.201468780636787,-0.15329572558403,-0.146780148148537
3,-0.0144062312319875,-0.0560076721012592,-0.171450540423393,-0.205486267805099,-0.150961250066757,-0.153229951858521
4,-0.0131668820977211,-0.0570278577506542,-0.173478245735168,-0.20718140900135,-0.149489805102348,-0.157133832573891
5,-0.0116966692730784,-0.0568655952811241,-0.174078047275543,-0.20693826675415,-0.148475393652916,-0.159927889704704
6,-0.0101629141718149,-0.0568182170391083,-0.174112781882286,-0.206240698695183,-0.147560149431229,-0.162841469049454
7,-0.00868023652583361,-0.0569242127239704,-0.174045845866203,-0.205768004059792,-0.146112978458405,-0.165141880512238
8,-0.00802713632583618,-0.0574248172342777,-0.174580648541451,-0.206256508827209,-0.144858404994011,-0.166589930653572
9,-0.00858988147228956,-0.0584204867482185,-0.175977528095245,-0.20781110227108,-0.144605919718742,-0.167298197746277
10,-0.00978609174489975,-0.0590296797454357,-0.177250877022743,-0.20896914601326,-0.144973948597908,-0.166576772928238
11,-0.01117870118469,-0.0593392625451088,-0.177835091948509,-0.209055215120316,-0.145263150334358,-0.164816960692406
12,-0.0122528355568647,-0.0600300692021847,-0.177462682127953,-0.208576798439026,-0.144212707877159,-0.163437590003014
13,-0.0126987956464291,-0.0612256973981857,-0.176057428121567,-0.207991257309914,-0.141557231545448,-0.163270175457001
14,-0.0130044119432569,-0.0632551833987236,-0.174319058656693,-0.207861050963402,-0.138410598039627,-0.164434403181076
15,-0.0132966069504619,-0.0656668916344643,-0.17248098552227,-0.207686007022858,-0.135492101311684,-0.165562525391579
16,-0.0137835452333093,-0.0674313679337502,-0.170815050601959,-0.206524834036827,-0.13368459045887,-0.165037199854851
17,-0.0146642923355103,-0.0682485476136208,-0.169749557971954,-0.204748630523682,-0.132943317294121,-0.163459271192551
18,-0.0151248490437865,-0.0684726312756538,-0.168721780180931,-0.203157901763916,-0.13154336810112,-0.163046538829803
19,-0.014805980026722,-0.068556047976017,-0.16707569360733,-0.20199528336525,-0.128962397575378,-0.164460986852646
20,-0.0140244085341692,-0.0682156607508659,-0.164367079734802,-0.200493052601814,-0.125742241740227,-0.165534421801567
21,-0.0130529860034585,-0.067393459379673,-0.160280466079712,-0.19804884493351,-0.121851645410061,-0.164715439081192
22,-0.0121151078492403,-0.0667679458856583,-0.155065968632698,-0.195157691836357,-0.116721339523792,-0.162885263562202
23,-0.0112715605646372,-0.066667877137661,-0.149283483624458,-0.192246988415718,-0.109986238181591,-0.161263987421989
24,-0.0102504892274737,-0.0667867660522461,-0.143275246024132,-0.188931658864021,-0.102002583444119,-0.159696012735367
25,-0.00868398975580931,-0.0662936866283417,-0.137135908007622,-0.184279039502144,-0.0934827998280525,-0.156801268458366
26,-0.00755604496225715,-0.064874954521656,-0.131346762180328,-0.177901700139046,-0.0864717587828636,-0.151796728372574
27,-0.00855948403477669,-0.0632049515843391,-0.126696243882179,-0.170843839645386,-0.0834538042545319,-0.145501330494881
28,-0.0119297159835696,-0.0613121092319489,-0.123488150537014,-0.164802834391594,-0.0854338109493256,-0.138644397258759
29,-0.0154086817055941,-0.0592430084943771,-0.120596922934055,-0.160968601703644,-0.0879857018589973,-0.131966069340706
30,-0.0158850811421871,-0.0579296760261059,-0.116274163126946,-0.158951386809349,-0.083425909280777,-0.126242637634277
31,-0.0138442842289805,-0.0571317300200462,-0.10976392775774,-0.156242847442627,-0.0721007585525513,-0.120273366570473
32,-0.0117480577901006,-0.0560129843652248,-0.100935280323029,-0.150945723056793,-0.0595866553485394,-0.113345272839069
33,-0.00961493980139494,-0.0546769127249718,-0.0911022797226906,-0.144003793597221,-0.0491276420652866,-0.106892444193363
34,-0.0071259792894125,-0.0534509420394897,-0.0822888538241386,-0.136730223894119,-0.0421080328524113,-0.101327270269394
35,-0.00482404744252563,-0.0523819699883461,-0.0744370892643929,-0.129237502813339,-0.0368879213929176,-0.0953349247574806
36,-0.00269662053324282,-0.0513007305562496,-0.0667525604367256,-0.121695935726166,-0.0309227481484413,-0.088085949420929
37,-0.000930144917219877,-0.0503289178013802,-0.0600112490355968,-0.114932209253311,-0.0247326083481312,-0.0803584828972816
38,-0.000188393591088243,-0.0497907772660255,-0.0556203573942184,-0.109889291226864,-0.0203717220574617,-0.0734386146068573
39,-0.000646282162051648,-0.0494595244526863,-0.0536151677370071,-0.106507949531078,-0.0181737300008535,-0.0675196051597595
40,-0.00182203273288906,-0.0490824654698372,-0.0525580272078514,-0.103619672358036,-0.0168470069766045,-0.0623911246657372
41,-0.00321698002517223,-0.0489448197185993,-0.0504682250320911,-0.100005947053432,-0.014636411331594,-0.0583620108664036
42,-0.00477893697097898,-0.0493389405310154,-0.0460819229483604,-0.0953372940421104,-0.00979526620358229,-0.055301159620285
43,-0.00663732597604394,-0.0500099845230579,-0.0398599840700626,-0.0898473709821701,-0.00262803724035621,-0.0518701039254665
44,-0.00838840194046497,-0.0501917339861393,-0.0331155583262444,-0.083946630358696,0.00463566370308399,-0.0468542538583279
45,-0.0098581425845623,-0.0487148016691208,-0.0275476891547441,-0.0779847577214241,0.00932296365499496,-0.0398860462009907
46,-0.0118033923208714,-0.0451639853417873,-0.0248970184475183,-0.0723188668489456,0.00932571291923523,-0.031678780913353
47,-0.0142994895577431,-0.0411782339215279,-0.0249031763523817,-0.0677221268415451,0.00615816423669457,-0.0242112223058939
48,-0.016328502446413,-0.0384075976908207,-0.024796973913908,-0.0638100206851959,0.00403361627832055,-0.0181202236562967
49,-0.0172176361083984,-0.0370541997253895,-0.0221957098692656,-0.0594447143375874,0.00537165487185121,-0.012816627509892
50,-0.0169770959764719,-0.0368406921625137,-0.0168328303843737,-0.0546853691339493,0.0104900412261486,-0.00847098790109158
51,-0.0158345121890306,-0.0369146801531315,-0.0095670698210597,-0.0498594455420971,0.0183384232223034,-0.00497460784390569
52,-0.0147023014724255,-0.0366109162569046,-0.00224237586371601,-0.0452423878014088,0.0256987623870373,-0.00186637439765036
53,-0.0143526000902057,-0.0361436232924461,0.00318872136995196,-0.0412679463624954,0.0299792364239693,0.0011740333866328
54,-0.0143606066703796,-0.0358242839574814,0.00652704015374184,-0.0380591154098511,0.0324564687907696,0.00412742700427771
55,-0.0145196551457047,-0.0354170016944408,0.00889045745134354,-0.0353272743523121,0.0350433923304081,0.00695068016648293
56,-0.0152627062052488,-0.0341676250100136,0.0111352624371648,-0.032437838613987,0.0366632305085659,0.010630096308887
57,-0.0164163894951344,-0.0319708064198494,0.0134473312646151,-0.0293421726673841,0.0367280468344688,0.0155917555093765
58,-0.0169395096600056,-0.0292420648038387,0.015714768320322,-0.0263871811330318,0.0368641652166843,0.0209107827395201
59,-0.016242740675807,-0.0263082645833492,0.017941128462553,-0.0234894659370184,0.0378312394022942,0.0258977450430393
60,-0.0151732787489891,-0.0239560063928366,0.0202674679458141,-0.0205113496631384,0.0391325242817402,0.030059639364481
61,-0.0147360824048519,-0.0226637572050095,0.0232709851115942,-0.0168643370270729,0.0407216064631939,0.0332147106528282
62,-0.0147862629964948,-0.0215290673077106,0.0274666398763657,-0.0116248270496726,0.0434114746749401,0.0362344793975353
63,-0.0152854071930051,-0.0198634192347527,0.0315486267209053,-0.00550195062533021,0.0467540845274925,0.0396380200982094
64,-0.0160522479563951,-0.018703380599618,0.0337278731167316,-0.00092004076577723,0.0497061982750893,0.0421228036284447
65,-0.0160695519298315,-0.0188035704195499,0.0346542336046696,0.00137083104345948,0.0529684983193874,0.0428388863801956
66,-0.0154473865404725,-0.0195124596357346,0.0364896692335606,0.00366985937580466,0.0573646686971188,0.0432603731751442
67,-0.0145911565050483,-0.0201749391853809,0.0402060821652412,0.00785311404615641,0.0628908947110176,0.0447232350707054
68,-0.0137517666444182,-0.0203913599252701,0.0444537177681923,0.0126851126551628,0.0679053068161011,0.0474280305206776
69,-0.0146304359659553,-0.0198622904717922,0.0469995513558388,0.0162530988454819,0.068420946598053,0.051512099802494
70,-0.0181086026132107,-0.0183969587087631,0.0478675626218319,0.0191166047006845,0.0631048828363419,0.0568993166089058
71,-0.0209834072738886,-0.0171406622976065,0.0487765185534954,0.0212902277708054,0.0594912469387054,0.061379287391901
72,-0.0192042626440525,-0.0173538234084845,0.0508418940007687,0.0216431841254234,0.065510019659996,0.0629939362406731
73,-0.014318473637104,-0.0178968403488398,0.0534686744213104,0.021203126758337,0.0761480703949928,0.0636289790272713
74,-0.0108057791367173,-0.01737055554986,0.0548265427350998,0.0216160267591476,0.0821280553936958,0.0654039084911346
75,-0.00966387335211039,-0.0155587401241064,0.0547498129308224,0.0237680971622467,0.0826648324728012,0.0685387626290321
76,-0.00969952344894409,-0.013256648555398,0.0542475618422031,0.0273256618529558,0.0811842530965805,0.0719980970025063
77,-0.0104755880311131,-0.0114575950428844,0.0542648918926716,0.0312276389449835,0.0800787508487701,0.0745030492544174
78,-0.0118695646524429,-0.0101019022986293,0.0557349883019924,0.035366665571928,0.0807347372174263,0.0761638283729553
79,-0.0136760622262955,-0.00871968921273947,0.0579211264848709,0.039753083139658,0.0823084115982056,0.0778857469558716
80,-0.0156834498047829,-0.00728220492601395,0.0593558214604855,0.0436955876648426,0.0828571766614914,0.0797986835241318
81,-0.0173554942011833,-0.00552697014063597,0.0600561574101448,0.0468635521829128,0.0816372781991959,0.0817506015300751
82,-0.0186938587576151,-0.00308022601529956,0.060345284640789,0.0493764542043209,0.0784208327531815,0.084092915058136
83,-0.0204939730465412,-0.000713089655619115,0.0598482377827168,0.0510680712759495,0.0738836154341698,0.0865323841571808
84,-0.0223452299833298,0.00062907428946346,0.0591428205370903,0.052296906709671,0.0709411352872849,0.0883657112717628
85,-0.0228380691260099,0.00109186675399542,0.0592708103358746,0.0538707710802555,0.0721288546919823,0.0895005017518997
86,-0.0219451636075974,0.00124298443552107,0.059590645134449,0.0556105114519596,0.0758749097585678,0.0903090909123421
87,-0.020807197317481,0.0013357502175495,0.0589392744004726,0.0565917119383812,0.0790188685059547,0.0912065580487251
88,-0.0200815368443727,0.00148069264832884,0.0576318316161633,0.0564726330339909,0.0805965438485146,0.0920251980423927
89,-0.0195447392761707,0.00194392644334584,0.0568801239132881,0.0559683106839657,0.0810804218053818,0.0921908169984818
90,-0.0184311904013157,0.00319035421125591,0.0575853921473026,0.0559674203395844,0.0818292200565338,0.0918936878442764
