,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.00691794184967875,-0.00328439543955028,-0.0371052473783493,0.5,-0.0249334964901209,-0.0375285260379314
1,-0.00110157765448093,0.00212891865521669,-0.0330195128917694,0.5,-0.0219022892415524,-0.0332934707403183
2,0.00404734723269939,0.00798240769654512,-0.0297388788312674,0.5,-0.021548043936491,-0.0269528608769178
3,0.00495724380016327,0.00989392958581448,-0.0310441348701715,0.5,-0.0243270248174667,-0.0215008463710546
4,0.000795885920524597,0.00601276010274887,-0.0374198891222477,0.5,-0.028687747195363,-0.0211294200271368
5,-0.0025427530054003,0.00276224431581795,-0.0414401367306709,0.5,-0.030096797272563,-0.0215641316026449
6,0.00202776165679097,0.00882456265389919,-0.0348462611436844,0.5,-0.0244483686983585,-0.0143186775967479
7,0.0144696030765772,0.0246813036501408,-0.0183046590536833,0.5,-0.0128652062267065,0.00148181361146271
8,0.0287726800888777,0.0438416786491871,0.000120523298392072,0.5,-0.000594160461332649,0.0190763603895903
9,0.0371051132678986,0.0587045699357986,0.0111229829490185,0.5,0.00689463969320059,0.029706422239542
10,0.0373454801738262,0.0660608783364296,0.0127381412312388,0.5,0.00893943104892969,0.0304312072694302
11,0.0341163352131844,0.0670627057552338,0.00999487936496735,0.5,0.00842393934726715,0.0253569707274437
12,0.0297612063586712,0.0626570731401443,0.00531542487442493,0.5,0.00527373235672712,0.0178389828652143
13,0.0244530756026506,0.055384237319231,-0.00022619342780672,0.383668541908264,-0.00126099342014641,0.00988862104713917
14,0.0174509473145008,0.0465457364916801,-0.00680514611303806,0.284182637929916,-0.0108207892626524,0.000507015211042017
15,0.00870788563042879,0.0355440638959408,-0.0152599094435573,0.230818122625351,-0.0221204217523336,-0.0120819266885519
16,0.00234073516912758,0.0260779168456793,-0.0217952821403742,0.206622436642647,-0.0313587374985218,-0.0234517175704241
17,-0.00163691048510373,0.0190653186291456,-0.0262158643454313,0.210960268974304,-0.0379326120018959,-0.0324322432279587
18,-0.00612782780081034,0.01247104909271,-0.0315178446471691,0.267999202013016,-0.0437510572373867,-0.0413944907486439
19,-0.00786623731255531,0.0099822785705328,-0.0338009931147099,0.378866732120514,-0.0465988963842392,-0.0461091659963131
20,-0.00665216846391559,0.0115102268755436,-0.0321252085268497,0.5,-0.0459683537483215,-0.0462117269635201
21,-0.0074404664337635,0.0114912679418921,-0.0318916104733944,0.5,-0.0450915731489658,-0.0473095811903477
22,-0.00926049798727036,0.0105704767629504,-0.0327423177659512,0.5,-0.0438541769981384,-0.0485200397670269
23,-0.00868044979870319,0.0117846624925733,-0.0312985591590405,0.5,-0.0409544743597507,-0.0462826900184155
24,-0.00694185541942716,0.0136154619976878,-0.0288073420524597,0.5,-0.0381389819085598,-0.0419286750257015
25,-0.00673145707696676,0.0132416291162372,-0.0280203633010387,0.5,-0.0366156622767448,-0.0391570031642914
26,-0.00854600314050913,0.0101169180124998,-0.0296606663614511,0.5,-0.0352738276124001,-0.0400968678295612
27,-0.00913797505199909,0.00879733171314001,-0.030202204361558,0.5,-0.0324227884411812,-0.0411448962986469
28,-0.005724489223212,0.0131278280168772,-0.0261172987520695,0.5,-0.0283000934869051,-0.0381939671933651
29,-0.00015974989219103,0.020234351977706,-0.0194374434649944,0.5,-0.0251337215304375,-0.0326829813420773
30,0.00504431547597051,0.0265910737216473,-0.0131723107770085,0.5,-0.0235906261950731,-0.0259591434150934
