,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.00390946539118886,-0.000335948716383427,-0.0115001946687698,-0.0140162659808993,0.0136483972892165,-0.0155067648738623
1,-0.0134231597185135,-0.0074331178329885,-0.0175195429474115,-0.0210888758301735,0.0084571884945035,-0.0175889320671558
2,-0.0215220097452402,-0.01638456992805,-0.0226480327546597,-0.0274433847516775,0.00298106390982866,-0.0200951248407364
3,-0.0253599528223276,-0.0227500405162573,-0.0240892246365547,-0.0297943148761988,0.000117837240395602,-0.0196858197450638
4,-0.0241243578493595,-0.023545678704977,-0.0203728601336479,-0.027118930593133,0.000993887195363641,-0.0145008713006973
5,-0.0198409706354141,-0.0197462346404791,-0.0133191403001547,-0.0215279534459114,0.00362541037611663,-0.00594731792807579
6,-0.0154207656159997,-0.0156636592000723,-0.00680094677954912,-0.0164660904556513,0.00514139281585813,0.00165267998818308
7,-0.0129800783470273,-0.0142760304734111,-0.00417161826044321,-0.0139190778136253,0.00263666897080839,0.00563659844920039
8,-0.0137507235631347,-0.0161958206444979,-0.00713133066892624,-0.0149680767208338,-0.00541612366214395,0.00560273742303252
9,-0.016917048022151,-0.0222786385565996,-0.0146423270925879,-0.0202821809798479,-0.0166651252657175,0.000135840455186553
10,-0.0190119277685881,-0.0304989460855722,-0.0227176807820797,-0.0271667391061783,-0.0259206499904394,-0.00869083870202303
11,-0.017950689420104,-0.0361614115536213,-0.028013713657856,-0.0315384604036808,-0.0305323973298073,-0.0145154679194093
12,-0.015438174828887,-0.0386825688183308,-0.0305771678686142,-0.033078346401453,-0.0321163646876812,-0.0167169105261564
13,-0.0146368723362684,-0.0409693121910095,-0.0325941741466522,-0.0341601371765137,-0.0339077226817608,-0.0192597545683384
14,-0.0171003118157387,-0.0442783087491989,-0.0356873273849487,-0.0365008935332298,-0.0374286472797394,-0.0235407575964928
15,-0.0221562702208757,-0.0480155646800995,-0.0399860329926014,-0.0403989143669605,-0.0416714735329151,-0.0292284898459911
16,-0.0274721328169107,-0.0507645569741726,-0.0445027463138103,-0.0447379089891911,-0.044889647513628,-0.03481575101614
17,-0.0303315985947847,-0.0508867762982845,-0.047738078981638,-0.0477465428411961,-0.0457113310694695,-0.0380996465682983
18,-0.031080013141036,-0.0484689325094223,-0.0495205000042915,-0.048826340585947,-0.0454428121447563,-0.038670752197504
19,-0.0315739028155804,-0.0449674502015114,-0.0500663928687572,-0.0483804866671562,-0.0459616519510746,-0.0375980399549007
20,-0.0309458654373884,-0.0411647260189056,-0.0478545017540455,-0.046016801148653,-0.0451117306947708,-0.0351128280162811
21,-0.0281418636441231,-0.0368959493935108,-0.0421452187001705,-0.0413438826799393,-0.0408110842108727,-0.0306932907551527
22,-0.0251470301300287,-0.0322648510336876,-0.035311471670866,-0.0360259413719177,-0.0356124974787235,-0.0252738539129496
23,-0.0243027489632368,-0.0283238962292671,-0.0302611403167248,-0.0322956331074238,-0.0328213647007942,-0.0210795849561691
24,-0.0262730531394482,-0.0262452326714993,-0.0282228495925665,-0.0306258518248796,-0.0332769639790058,-0.019513351842761
25,-0.0303177423775196,-0.0260503068566322,-0.0286088567227125,-0.0301172416657209,-0.036229569464922,-0.0204654335975647
26,-0.0330932661890984,-0.025955818593502,-0.0285274758934975,-0.0289112944155931,-0.038650531321764,-0.0218630712479353
27,-0.0321616418659687,-0.0244905147701502,-0.0259722210466862,-0.0258820839226246,-0.0380158796906471,-0.021236402913928
28,-0.0304912738502026,-0.0230027474462986,-0.0231897961348295,-0.0229938458651304,-0.0365220233798027,-0.0196229182183743
29,-0.0308668743818998,-0.0226443242281675,-0.0216863732784987,-0.0219052564352751,-0.0356014929711819,-0.0191136319190264
30,-0.0324977822601795,-0.0224394053220749,-0.0194433014839888,-0.0214918553829193,-0.0336525924503803,-0.0189012009650469
31,-0.0339787118136883,-0.0214736424386501,-0.0150941293686628,-0.0206086318939924,-0.0302207488566637,-0.017871119081974
32,-0.034479171037674,-0.0201081689447165,-0.0101806484162807,-0.0199173483997583,-0.0260391533374786,-0.0168607011437416
33,-0.0362746939063072,-0.0212159529328346,-0.00933342706412077,-0.022295331582427,-0.0248379334807396,-0.0187238436192274
34,-0.0413639098405838,-0.0261774472892284,-0.0151406899094582,-0.0286015961319208,-0.0296647064387798,-0.0244492944329977
35,-0.0462232232093811,-0.0309901125729084,-0.0233844351023436,-0.0346270389854908,-0.0361378602683544,-0.029950050637126
36,-0.0481168702244759,-0.0326350182294846,-0.0295232534408569,-0.0375538691878319,-0.039729405194521,-0.0318402834236622
37,-0.0481059774756432,-0.0319999419152737,-0.0331795699894428,-0.0385326743125916,-0.0409768596291542,-0.0305798556655645
38,-0.0458337776362896,-0.0298632383346558,-0.0343006402254105,-0.0379530973732471,-0.0397097803652287,-0.0271949078887701
39,-0.0408430360257626,-0.0267732199281454,-0.0329732932150364,-0.035261046141386,-0.0355672761797905,-0.0221783667802811
40,-0.0346434786915779,-0.023866543546319,-0.0303424727171659,-0.0310428366065025,-0.0306613110005856,-0.0164400599896908
41,-0.0280450228601694,-0.0217863116413355,-0.0269221160560846,-0.0267608650028706,-0.0262265373021364,-0.0121130757033825
42,-0.0218634475022554,-0.0201745890080929,-0.0232425592839718,-0.0238978192210197,-0.0221136249601841,-0.0103557528927922
43,-0.0185543075203896,-0.0191773194819689,-0.020819365978241,-0.0234638284891844,-0.0192674603313208,-0.0106758894398808
44,-0.0195184610784054,-0.0195600036531687,-0.0210080835968256,-0.0253784712404013,-0.0190869569778442,-0.0127786733210087
45,-0.0228193420916796,-0.0204884447157383,-0.0233396403491497,-0.0281958393752575,-0.0216127838939428,-0.015403913334012
46,-0.0253569446504116,-0.0200341492891312,-0.0259812194854021,-0.0303222332149744,-0.0257213395088911,-0.0167345367372036
47,-0.0261740125715733,-0.0178374201059341,-0.0281013399362564,-0.0317931436002254,-0.0305404905229807,-0.0174397826194763
48,-0.0266546681523323,-0.0158903915435076,-0.0300729312002659,-0.033931665122509,-0.035525057464838,-0.0197477769106627
49,-0.0282205156981945,-0.0159779619425535,-0.0320323817431927,-0.0369125939905643,-0.0394612066447735,-0.0241200309246778
50,-0.031060429289937,-0.0173125304281712,-0.0336639545857906,-0.0391951240599155,-0.0413757860660553,-0.028638930991292
51,-0.0339998938143253,-0.0170543827116489,-0.0340013317763805,-0.0387678369879723,-0.0413441509008408,-0.0296712480485439
52,-0.0347462929785252,-0.0134096378460526,-0.031389344483614,-0.0345598310232162,-0.0389289744198322,-0.024933947250247
53,-0.0323149375617504,-0.00809336267411709,-0.0256814397871494,-0.0280140955001116,-0.0339153073728085,-0.0166223831474781
54,-0.0287439376115799,-0.00452937977388501,-0.0197096932679415,-0.022594666108489,-0.0286061055958271,-0.0094550522044301
55,-0.0272145066410303,-0.00442725094035268,-0.0167892761528492,-0.0209000483155251,-0.0266098752617836,-0.0065695964731276
56,-0.0290167424827814,-0.00663268333300948,-0.0174435265362263,-0.0228665787726641,-0.029052609577775,-0.00778699107468128
57,-0.0319446995854378,-0.00824629794806242,-0.0190192759037018,-0.0257039032876492,-0.0327884703874588,-0.0104624386876822
58,-0.0332422405481339,-0.00746612995862961,-0.018954848870635,-0.0263490956276655,-0.034601803869009,-0.0117631126195192
59,-0.032846212387085,-0.00478976359590888,-0.0170715264976025,-0.0242847893387079,-0.034841526299715,-0.0100976563990116
60,-0.0316946841776371,-0.00112042389810085,-0.014203411526978,-0.0206543747335672,-0.0345964506268501,-0.00529044074937701
61,-0.0300628039985895,0.00228900648653507,-0.0112932696938515,-0.0166364386677742,-0.0336860381066799,0.000768298981711268
62,-0.0283937640488148,0.00307094561867416,-0.00961002986878157,-0.013392448425293,-0.0321926437318325,0.00546633778139949
63,-0.0269376989454031,-0.000276341859716922,-0.0101545201614499,-0.0121492147445679,-0.0305199362337589,0.00722975190728903
64,-0.0254382453858852,-0.00704522943124175,-0.0126308603212237,-0.0131631726399064,-0.0287058744579554,0.00561304669827223
65,-0.0244006831198931,-0.0155341681092978,-0.0157858785241842,-0.0153838163241744,-0.0266339778900146,0.00157165352720767
66,-0.0243606716394424,-0.0238779783248901,-0.0187967885285616,-0.0177964605391026,-0.0238628778606653,-0.0029783935751766
67,-0.0248091612011194,-0.0311158448457718,-0.0212079044431448,-0.0202942751348019,-0.0198492053896189,-0.00681082997471094
68,-0.0255273841321468,-0.0371272079646587,-0.0227119326591492,-0.022674486041069,-0.0155813302844763,-0.00912927277386189
69,-0.0278491862118244,-0.0416790992021561,-0.0248109195381403,-0.0244403872638941,-0.0141414226964116,-0.00924226734787226
70,-0.0321544297039509,-0.0446747876703739,-0.0288690440356731,-0.0250910371541977,-0.0166818555444479,-0.00711278943344951
71,-0.0355502627789974,-0.0458494462072849,-0.0333930142223835,-0.0239064451307058,-0.0204014126211405,-0.00289543508552015
