,AF3,AF4,Fp1,AF7,AF8
0,-0.011101785703699555,0.022390348230177534,0.0015777176670411274,0.00937455064435218,0.009876119148416476
1,-0.014717796159386709,0.020146477236288145,8.394209707822494e-05,0.007119256890695642,0.006950874523917735
2,-0.022865760777022723,0.01198913715765315,-0.006139167233813542,-0.0011056420996377004,-0.0007018512602905298
3,-0.03216836727202006,0.0012584443390474523,-0.015615288702096391,-0.011834022886154672,-0.00883841869916803
4,-0.037798824664935955,-0.006747628326153056,-0.023567668299393267,-0.019341360556664064,-0.01293754888581321
5,-0.03809567094837695,-0.010464252349351492,-0.02680119079820853,-0.021409656439003014,-0.013635667341180449
6,-0.034197700227241425,-0.00998712459976618,-0.02461785121485942,-0.01828569046807874,-0.012804320011056886
7,-0.029064211371780627,-0.006708748929842064,-0.01882083772622651,-0.012425779192482776,-0.011713850550384819
8,-0.025384270795530548,-0.003878945327062582,-0.012448562540967965,-0.007195072037056672,-0.01180777641558447
9,-0.022785903779195208,-0.0028047744071856414,-0.007335069864573053,-0.0037138844457349535,-0.013252546387873609
10,-0.020149179372581236,-0.0033881806177734103,-0.004731120021939653,-0.0025295522849092702,-0.015352701823301567
11,-0.018678542986972194,-0.006863193982897147,-0.006264468712256455,-0.004943164177697748,-0.018074671257104633
12,-0.019933247965305535,-0.013157589169897602,-0.01193565710196555,-0.010855214945290636,-0.021287491046343775
13,-0.022726792743025137,-0.018930636316538508,-0.018239694378123467,-0.017112120603659915,-0.02295474130954303
14,-0.02439456635768451,-0.021187163468796774,-0.021516442280733225,-0.020493130044702688,-0.02077976264308541
15,-0.02482930641920851,-0.020795250415242654,-0.022132104450135283,-0.02253760090536666,-0.016042036437117775
16,-0.02475646479189762,-0.019509715213723165,-0.021968276456746674,-0.025097591544076293,-0.012467667541947955
17,-0.023872389461189178,-0.017419454003655934,-0.021901809264976584,-0.02635512337727581,-0.012731234230442392
18,-0.02273363531238842,-0.01517476785550752,-0.022138956596264303,-0.025711669096622872,-0.016855586023186722
19,-0.02158387394251374,-0.01427901201738573,-0.021712367605718826,-0.024530155987645772,-0.02151144068177813
20,-0.02061882513199028,-0.015864914414866302,-0.0203656665398722,-0.0237829070393005,-0.023301235241143647
21,-0.020483408012385934,-0.019913533144087288,-0.019661979919509447,-0.024245855225461455,-0.02358808430826297
22,-0.018720172231967883,-0.023027883285432343,-0.01865344302925396,-0.024199122966458243,-0.023096304097298445
23,-0.01221709680538311,-0.021314136019442244,-0.014874239375965543,-0.02104527333070124,-0.020466122990469505
