Row,poall1,poall2,poall3,poall4,poall5
delta,0.00026484888802543,5.7986126270744e-05,4.16423381546898e-06,2.14574692958591e-06,6.57944551514009e-07
theta,1.12570521946073e-05,2.6227658750429e-05,2.67018416607583e-05,1.17146715255013e-06,1.04719488339992e-06
alpha,1.74051304507867e-05,4.4689584532099e-06,2.50747234839609e-06,1.10054377282726e-05,3.5365103796129e-07
beta,2.09638693074153e-05,4.39643911060568e-06,1.07742229783471e-06,3.35621804476851e-07,1.8030010391279e-06
