Row,poall1,poall2
delta,1.00486220782806e-06,4.70068732149269e-07
theta,2.95892798854952e-06,1.86192980183292e-07
alpha,9.7397983646104e-07,2.63388322200422e-07
beta,6.72849241056852e-07,2.45180961009006e-07
