Row,poall1,poall2,poall3,poall4,poall5
delta,2.73828663948713e-05,4.84369155815058e-06,2.47155216155884e-06,1.16299807809256e-06,2.01820625310219e-06
theta,0.000168005619849984,2.62208425121542e-06,1.82012727321927e-06,1.11032150973791e-06,5.59219353124855e-07
alpha,1.39180024239455e-05,3.77492484444492e-05,1.54694370662436e-06,4.54777169632242e-07,4.6507147546647e-07
beta,1.34296321042462e-05,4.27218862572487e-06,5.35842659547615e-06,8.87667253623379e-07,4.15114582805037e-07
