Row,poall1,poall2,poall3,poall4,poall5
delta,2.54426440299223e-06,4.92577409995549e-06,1.46108239375585e-06,6.47560819565824e-07,4.4719637208394e-07
theta,1.13522642860057e-06,2.6725853990028e-06,2.24593853160517e-06,1.23882005772491e-06,6.89688554220484e-07
alpha,9.45371969887429e-07,1.10716576519872e-06,8.0764530520761e-07,1.31083469502714e-06,9.09621944591091e-07
beta,2.54842313047276e-06,9.02830221545307e-07,5.59071501058716e-07,4.72809365500133e-07,8.20148601923104e-07
