Row,poall1,poall2,poall3,poall4,poall5
delta,6.43718630099701e-05,3.43945561533043e-06,3.13249017377879e-06,4.99758874335951e-07,8.48417770167934e-07
theta,2.79690839219643e-05,4.7078785630835e-06,4.05779273419048e-06,1.27625190526962e-06,3.35391674571589e-07
alpha,3.78636446663032e-06,7.54142361681093e-06,1.4059021071422e-06,8.62355379780454e-07,4.98459050714547e-07
beta,6.53141663940733e-06,2.51675955301607e-06,3.72278175726189e-06,5.09048510540531e-07,4.15067391816406e-07
