Row,poall1,poall2,poall3,poall4,poall5
delta,0.000208374024006416,4.44386808159886e-05,1.03129806668278e-05,1.42577217067371e-06,9.29886932778326e-07
theta,9.84102258539517e-06,1.85286061024063e-05,1.3690447892104e-05,3.2349575407513e-06,2.88249525045666e-07
alpha,5.7952026215769e-06,2.45206198960898e-06,2.74985868788047e-06,3.96603573108124e-06,7.55991556794668e-07
beta,8.2944173378038e-05,1.77988616419804e-06,7.88871850970555e-07,6.55151005074318e-07,1.33649125214225e-06
