Row,poall1,poall2
delta,3.49957516291115e-06,4.41121541993814e-07
theta,4.335259041168e-06,6.00299426916757e-07
alpha,1.0005468090056e-06,1.36681532283271e-07
beta,1.21858552816599e-06,2.22782483989774e-07
