Row,poall1,poall2,poall3,poall4,poall5
delta,3.86325815193534e-06,4.00579160909889e-06,9.75255683724292e-07,5.65669202697585e-07,2.24001070731309e-07
theta,6.31445445770701e-06,5.00621528313193e-07,1.14643290967233e-06,2.35681012255453e-07,1.56962575781761e-07
alpha,3.63809471925304e-06,1.45347746323609e-06,4.61090323057228e-07,4.01842207228627e-07,2.08115489325442e-07
beta,1.83907838645333e-06,9.79117828132506e-07,6.7401265999786e-07,1.97050177085966e-07,2.53657927388573e-07
