Row,poall1,poall2,poall3,poall4
delta,6.54246110748451e-06,1.09859078634499e-06,6.0962542103908e-07,3.12364407074383e-07
theta,2.81576192152765e-06,2.13797236913215e-06,1.10312576964361e-06,2.08307040307831e-07
alpha,4.70526504664334e-06,1.65411710313515e-06,6.08628866585262e-07,1.61522572785033e-07
beta,4.72183625465853e-06,8.51586806172083e-07,3.4773236112436e-07,1.33588878564319e-07
