Row,poall1,poall2,poall3,poall4,poall5
delta,9.93842633629734e-07,3.580808866348e-06,6.9942305860659e-07,2.90768993224968e-07,2.13729220403545e-07
theta,2.67902090159127e-06,8.27447144961508e-07,8.85051227248697e-07,2.45994960490182e-07,2.9871389839332e-07
alpha,7.4492410256488e-07,1.02285963429869e-06,3.42437980181026e-07,2.61772723436218e-07,1.19027382366013e-07
beta,2.23967860046733e-06,3.69354267802227e-07,4.4183882662463e-07,8.4531040858182e-08,9.45546410481384e-08
