Row,poall1,poall2,poall3,poall4,poall5
delta,3.26156602761098e-06,3.63236070793449e-06,8.93031346969438e-07,1.11155417388961e-07,2.68867823481695e-07
theta,2.93311809075634e-06,2.27352716596846e-06,1.05054824357456e-06,4.05391091512684e-07,2.11519498216839e-07
alpha,2.37343132983764e-06,2.10680827498572e-06,5.78410864158766e-07,6.83332942941381e-07,4.21503169459563e-07
beta,1.40606847591576e-06,1.92882961268923e-07,4.00245152551642e-07,3.78056133098131e-07,2.97322726644223e-07
