Row,poall1,poall2,poall3
delta,5.66941520781162e-06,5.43153501267084e-06,1.20058805994634e-06
theta,2.50361486794059e-06,5.3537444195692e-06,1.00938961924604e-06
alpha,1.55349029710599e-05,2.3809417285547e-06,4.96315131179788e-07
beta,5.36854248778705e-06,2.62630466178606e-06,5.84694839113299e-07
