Row,poall1,poall2,poall3,poall4,poall5
delta,1.69084938219684e-06,8.08809362534842e-07,6.6902196677536e-07,3.55194380436693e-07,1.59056820353408e-07
theta,1.4759379961283e-06,1.25850347046639e-06,4.04602008361537e-07,3.713917776736e-07,1.53617034043862e-07
alpha,2.11294970555822e-06,8.1069955163464e-07,3.66694127160226e-07,3.4365691241275e-07,1.52221235087985e-07
beta,1.66073379036196e-06,1.29182460532859e-06,2.84076287842735e-07,1.18263824656995e-07,1.27468366947362e-07
