Row,poall1,poall2,poall3,poall4,poall5
delta,1.65581336725087e-06,3.97811459032367e-06,7.37050611942777e-07,2.84780395531216e-07,3.20782580869419e-07
theta,1.27969738094014e-06,8.86108773181175e-07,1.01926740516081e-06,3.97179832904324e-07,2.71585715836842e-07
alpha,3.00852870677302e-06,8.50056954234202e-07,2.86431024463688e-07,3.34261962792625e-07,3.12571727556646e-07
beta,2.32837367861797e-06,1.16031630076191e-06,5.77917121741175e-07,1.42388743004818e-07,3.96890218380714e-07
