Row,poall1,poall2,poall3,poall4,poall5
delta,5.04425531178565e-06,3.23143744627868e-06,1.59424267499275e-06,7.95733624995315e-07,4.2532125537887e-07
theta,1.12753191175113e-05,3.85092707980403e-06,3.00266618339801e-06,9.62535836695563e-07,2.49354450500804e-07
alpha,6.57279023994243e-06,3.35125698221628e-06,1.36204863631636e-06,3.06889520664448e-07,4.52431719086776e-07
beta,8.83589777279076e-06,1.28831895476021e-06,1.07541379464357e-06,3.26701996454917e-07,2.14478778559783e-07
