Row,poall1,poall2,poall3,poall4,poall5
delta,5.08363402207209e-06,5.79122937471919e-06,1.48299201203222e-06,1.46425810277279e-06,3.24566723425866e-07
theta,8.22551971910077e-06,1.46609698741251e-06,2.57103448379841e-06,4.68664949343797e-07,4.09038565241339e-07
alpha,1.07164282832039e-05,1.488679572253e-06,7.21624136840096e-07,1.00035730907688e-06,6.07254378112038e-07
beta,6.75908088775412e-06,1.84990768118107e-06,4.7058933325874e-07,3.74528328256749e-07,3.33676633476115e-07
