Row,poall1,poall2,poall3
delta,1.19657477628118e-05,5.04832945627422e-06,1.5081828384894e-06
theta,1.01620145701111e-05,8.32483453574192e-06,7.50356881979584e-07
alpha,6.23530373338429e-06,1.48653719220365e-06,5.54734079807721e-07
beta,6.82369248559895e-06,1.64494398698854e-06,8.50128669921341e-07
