Row,poall1,poall2,poall3
delta,1.93046647938304e-05,6.20169316412907e-06,1.55545363567044e-06
theta,4.21698592782164e-06,3.40279137513869e-06,2.61396360437049e-06
alpha,2.20336235719576e-05,3.18240167015395e-06,1.41527191342897e-06
beta,8.54370579289799e-06,2.06191261779293e-06,1.4362522010977e-06
