Row,poall1,poall2,poall3,poall4,poall5
delta,0.000125674809264247,0.0004726166034384,1.98895711550674e-05,1.2213598369977e-05,3.04013607599725e-06
theta,0.000258040380765518,2.54068641364606e-05,6.5022386470029e-05,3.62568773788831e-06,1.97628854570536e-06
alpha,0.000268447962868479,0.000125529812253535,3.54494604850186e-06,6.54277451719308e-06,1.31567418814508e-06
beta,8.01611815711466e-05,6.7325217479644e-05,9.00714189635534e-06,1.18715612928668e-06,9.07065011004731e-07
