Row,poall1,poall2,poall3,poall4,poall5
delta,4.95239872126487e-06,1.60833903512275e-06,3.28861466879221e-07,1.59242113562649e-07,1.96143749172287e-07
theta,4.75260169095906e-06,1.15156764247632e-06,1.17529375254876e-06,3.29207576794465e-07,1.2183696364284e-07
alpha,2.61796056079293e-06,1.20927625750741e-06,2.94882687191843e-07,2.82071730204706e-07,1.11329766149799e-07
beta,1.64851155137769e-06,6.35702375342507e-07,5.90812377837614e-07,1.45140824129694e-07,1.38015770787722e-07
