Row,poall1,poall2,poall3,poall4,poall5
delta,4.40249809758576e-06,3.95141443560907e-06,9.32069967318641e-07,5.99412857844193e-07,3.75677230616385e-07
theta,7.69168657684146e-06,2.34910977805764e-06,2.19128659085704e-06,3.76822016133635e-07,4.59863023108623e-07
alpha,1.46081955595522e-05,1.40021420648222e-06,8.23288558932355e-07,1.02022488630166e-06,3.932141103988e-07
beta,4.78357406049517e-06,2.22642633466466e-06,6.98627210778857e-07,3.49568049551531e-07,5.48582411394387e-07
