Row,poall1,poall2,poall3
delta,8.98533946512448e-06,3.39986988038471e-06,1.57489102503305e-06
theta,3.54900756304373e-06,2.39515469907647e-06,1.15967583155588e-06
alpha,1.11742654285072e-05,1.27565266823065e-06,7.12095383327201e-07
beta,2.5557173748523e-06,5.81207517802888e-07,1.01269274368339e-06
