Row,poall1,poall2,poall3,poall4,poall5
delta,8.53809802075827e-06,6.4784678270649e-06,9.00974966668004e-07,7.78921877552589e-07,9.20056123746129e-07
theta,9.59980082784119e-06,1.61493877858737e-06,1.23686364451524e-06,3.55713115166775e-07,2.27456568500956e-06
alpha,6.78855831347549e-06,1.43638216342433e-06,5.32940593250759e-07,5.9200738939654e-07,3.6975250019776e-07
beta,4.4856999091065e-06,1.3342554208433e-06,6.08084533422858e-07,3.7463632174348e-07,3.67896261360057e-07
