Row,poall1,poall2
delta,2.16509726954271e-06,5.46401297908895e-07
theta,3.36018739118499e-06,5.40542581479313e-07
alpha,8.13649634865719e-07,3.10847098557852e-07
beta,7.78169099492711e-07,1.5635713255595e-07
