Row,poall1,poall2
delta,2.55691158830693e-06,1.63468098328059e-06
theta,6.16391612017115e-06,1.34814186619477e-06
alpha,2.00273169847705e-06,2.4807373222035e-07
beta,1.48945641108954e-06,4.19701554447326e-07
