Row,poall1,poall2,poall3,poall4,poall5
delta,1.39576559965303e-05,7.23107770815654e-06,1.29614444979925e-06,7.30491000561718e-07,5.98619858695443e-07
theta,1.10248331997717e-05,4.11370881322108e-06,2.39369958451447e-06,9.86750125415637e-07,2.75095471752803e-07
alpha,6.86589586707011e-06,5.39977172493699e-06,1.69894209415897e-06,5.96650819306136e-07,6.81370554073658e-07
beta,4.76039488441988e-06,2.23825668495019e-06,1.46620110390754e-06,6.73762004017802e-07,6.08732211486927e-07
