Row,poall1,poall2,poall3,poall4,poall5
delta,1.02420436604528e-06,6.5487072502545e-07,5.4883910108793e-07,1.76915107825859e-07,2.60691699778035e-07
theta,2.21097806667753e-06,1.82887286117345e-06,7.26184120716093e-07,3.09994306787625e-07,1.68398476537272e-07
alpha,6.31625989637665e-07,2.106725403729e-06,4.50612303776455e-07,1.83504658265663e-07,1.44261477542752e-07
beta,1.23185261147793e-06,5.00668180310503e-07,5.57173110890838e-07,1.4915066435865e-07,1.36586992791378e-07
