Row,poall1,poall2,poall3,poall4,poall5
delta,1.36958841904562e-05,6.3907941004982e-06,1.9002326461257e-06,6.16594297520823e-07,3.95696811268094e-07
theta,1.10308541335747e-05,2.61522814897894e-06,1.25759096286533e-06,4.28776007597203e-07,2.02982706823459e-07
alpha,8.08808952390789e-06,1.56417167289724e-06,9.23584780150983e-07,5.27977466098654e-07,2.27501725678868e-07
beta,1.24088078265595e-05,1.54259171961029e-06,8.43656293402778e-07,2.23608169046924e-07,2.02507602733325e-07
