Row,poall1,poall2,poall3,poall4,poall5
delta,6.53253370156904e-05,2.78427231251382e-05,1.53684657079729e-06,1.64395735039048e-06,8.17400303117445e-07
theta,9.5022471072042e-06,1.07024804917974e-05,1.27697444689137e-05,1.24856012721419e-06,1.0100938685708e-06
alpha,2.14505819616815e-05,6.5804248484696e-06,1.50422713866774e-06,5.59741436225967e-06,3.33008423154971e-07
beta,1.7615101620554e-05,4.22138757003382e-06,8.72063756106059e-07,4.53869980243052e-07,9.90517407833101e-07
