Row,poall1,poall2,poall3,poall4,poall5
delta,4.15181903043717e-06,4.69977130223114e-06,3.51410106951537e-06,1.00919111613275e-06,3.65329436755291e-07
theta,1.48533744661784e-05,2.99378397049362e-06,4.04188453783408e-06,1.24250703596018e-06,4.53749171518125e-07
alpha,1.6193097563549e-05,3.46500855281627e-06,1.39331309942112e-06,6.59392816242902e-07,8.87700874162801e-07
beta,4.95531474410702e-06,3.88750009171718e-06,7.92727634219286e-07,4.12910821690818e-07,3.42600361251177e-07
