Row,poall1,poall2,poall3,poall4,poall5
delta,2.52951169333297e-05,1.39496675760653e-05,2.27242295421082e-06,1.43929193050615e-06,4.96443508210562e-07
theta,1.64986253419799e-05,6.37889213366827e-06,7.30028524332861e-06,8.52134176296407e-07,5.72577258797517e-07
alpha,2.84577368253544e-05,2.91710847279341e-06,1.07388645490423e-06,1.88849366360064e-06,3.97969633901267e-07
beta,6.88032177527829e-06,3.63828938861477e-06,1.51996534046785e-06,5.8154700463111e-07,7.42539012855575e-07
