Row,poall1,poall2,poall3,poall4,poall5
delta,1.1846808408469e-05,3.79826191466522e-05,5.11404202197776e-06,1.51685919934846e-06,2.35091028662115e-06
theta,0.000232720581310715,3.3947731247702e-06,6.16955037003444e-06,1.40412101300644e-06,1.28084358522543e-06
alpha,3.07969532433875e-05,3.48976778150441e-05,1.25041298770097e-06,1.77483977556458e-06,8.70876356657052e-07
beta,1.71888651174201e-05,4.14352397716141e-06,4.29047448065213e-06,1.21178964587584e-06,9.63149974354811e-07
