Row,poall1,poall2,poall3,poall4,poall5
delta,7.66003932383775e-06,9.16885302038627e-05,2.60736222804112e-06,2.48089154080203e-06,5.87980725419078e-07
theta,5.73299494131401e-05,4.99023930711309e-06,2.56071996155135e-05,2.68156311514096e-06,4.22732855799255e-07
alpha,0.000122379914516951,1.53452670924393e-05,1.37860817071323e-06,1.12254089964205e-05,8.31942899605401e-07
beta,3.21223066394165e-05,1.81156377412148e-05,2.5244497140033e-06,4.06496078523523e-07,2.00269456405951e-06
