Row,poall1,poall2,poall3,poall4,poall5
delta,5.51081767450604e-05,0.000169941545900004,3.89124303406556e-05,5.46197198992551e-06,3.07456564603218e-06
theta,0.000231141831390073,1.75201377724067e-05,4.0108597941348e-05,5.31342528757961e-06,2.25316309183421e-06
alpha,0.000114340061776244,7.78106859858067e-05,2.75978064321648e-06,2.95742744616605e-06,1.65532048426621e-06
beta,0.000304612552687773,2.04908002505474e-05,8.49756351071875e-06,1.72984377798946e-06,1.48295704557023e-06
