Row,poall1,poall2,poall3,poall4,poall5
delta,9.762806263861e-07,3.37835370182008e-06,1.38009032561091e-06,8.48041683850361e-07,2.46735419747811e-07
theta,2.39481080784543e-06,1.17817605023211e-06,1.45540401900364e-06,6.19908691402257e-07,2.43692814298955e-07
alpha,3.72853825758527e-06,1.03193607771913e-06,3.43265956031559e-07,3.86586682165998e-07,3.48176200331129e-07
beta,6.59525807964873e-06,8.36348485847669e-07,4.37175420393821e-07,2.54195844270626e-07,2.9044779693744e-07
