Row,poall1,poall2,poall3
delta,8.62780352653233e-06,1.18223262570507e-05,1.54830468869975e-06
theta,8.23727156126026e-06,5.70522383500796e-06,1.29784752999113e-06
alpha,1.46899914462072e-05,1.59478211148426e-06,1.11803379720005e-06
beta,7.98599987020254e-06,2.34279447830906e-06,1.30816386082428e-06
