Row,poall1,poall2,poall3,poall4,poall5
delta,1.73565450582293e-06,1.4484171543459e-06,3.27592141518032e-07,3.65300049497404e-07,1.97424784490394e-07
theta,6.17511934503042e-07,1.04579029469991e-06,1.19440643756498e-06,2.8170065016937e-07,2.53157276932868e-07
alpha,2.08561359023235e-06,4.87790926007968e-07,4.47545271482239e-07,6.46617850228051e-07,2.03345518931016e-07
beta,1.54288737483385e-06,3.62118960877912e-07,3.72852476210013e-07,1.69597623142496e-07,3.39112769795663e-07
