Row,poall1,poall2,poall3,poall4,poall5
delta,6.73128212870759e-06,6.50781382045148e-06,2.43680728642525e-06,4.59304886062112e-07,6.51057966034723e-07
theta,8.61753821705589e-06,1.63060595215042e-06,1.17543615817875e-06,1.55453258449917e-06,8.19825193695378e-07
alpha,2.16202894598395e-05,3.07373120584819e-06,6.66988309366142e-07,1.30917340907721e-06,1.09033250951981e-06
beta,9.67626373068055e-06,3.2249336945909e-06,6.83886751483135e-07,5.78285927273767e-07,8.47047571337505e-07
