Row,poall1,poall2,poall3,poall4,poall5
delta,2.47400142649317e-05,6.03392155672674e-06,1.19624180709932e-06,5.84187940117168e-07,3.30625707742388e-07
theta,1.31569324108926e-05,2.67639759008643e-06,2.41954760892505e-06,6.74274922285901e-07,2.18400177029497e-07
alpha,5.62165081473213e-06,1.79229438325091e-06,7.10694838749096e-07,6.21565768662692e-07,1.64226597431474e-07
beta,7.187909174812e-06,8.21309703369673e-07,8.78782544960408e-07,5.70192197098046e-07,3.74911917279867e-07
