Row,poall1,poall2,poall3,poall4,poall5
delta,5.61341713963389e-05,2.96130498915278e-05,4.2566640582731e-06,7.23951151924597e-07,4.45870450531871e-07
theta,6.85479646195154e-06,5.30444495837414e-06,6.97148947875628e-06,1.7803236956551e-06,3.00367010940284e-07
alpha,6.51410902098591e-06,1.9699850620697e-06,1.67959532119807e-06,1.04310568506853e-06,5.57652123865684e-07
beta,4.77745652231557e-05,2.39326362506813e-06,5.36658620152402e-07,5.41974262579398e-07,5.24926457977871e-07
