Row,poall1,poall2,poall3,poall4,poall5
delta,0.00017587680546494,2.75577888965254e-05,3.56682493576371e-06,5.18283371287893e-06,5.48305813395496e-06
theta,0.000165748811299535,2.56863732810973e-05,1.77503373121033e-05,1.31549228589091e-06,6.56160598659976e-06
alpha,1.57110852646822e-05,2.69952510083178e-05,1.59331952831993e-06,6.17106254828727e-06,1.15683457476937e-06
beta,3.23069694810413e-05,6.18588080607317e-06,8.77038001384409e-06,1.07352953259967e-06,1.82690480798464e-06
