Row,poall1,poall2,poall3,poall4,poall5
delta,2.02979404918999e-05,8.86312996908945e-06,2.52735045153367e-06,1.10989256049415e-06,1.30281709498095e-06
theta,2.18680440301327e-05,4.77294944343362e-06,3.87010811089249e-06,3.8004821106111e-06,8.52017006722771e-07
alpha,1.39627026412102e-05,4.80863514253797e-06,1.41084105417722e-06,1.74010239893417e-06,1.84638817831086e-06
beta,9.06897394440602e-06,2.44344347352666e-06,9.52224726609176e-07,1.50597179727758e-06,1.41324884766659e-06
