Row,poall1,poall2,poall3,poall4,poall5
delta,8.73218213983049e-06,1.53545529074432e-05,2.10394940857776e-06,9.10762807643205e-07,5.87894337586844e-07
theta,1.10340593093627e-05,1.61901224142721e-06,4.26147142085361e-06,1.67958984395957e-06,7.9785047995425e-07
alpha,5.91701092333718e-06,3.150092285141e-06,9.93610875852166e-07,4.62616506270233e-07,3.83279722841011e-07
beta,4.03397919461209e-05,1.10183972102019e-06,1.39597922061799e-06,2.42816675226483e-07,2.48253759754481e-07
