Row,poall1,poall2,poall3,poall4
delta,3.81738848685331e-06,5.04661456862579e-07,4.59855153076318e-07,1.96952743781127e-07
theta,6.36038382785712e-06,1.44736313522087e-06,6.73758940705701e-07,2.2404732543832e-07
alpha,3.33170522139971e-06,9.77078799186163e-07,5.48542870323626e-07,1.56587469005093e-07
beta,1.70458148696673e-06,8.74445791312478e-07,2.38755371010583e-07,2.05855848482496e-07
