Row,poall1,poall2,poall3,poall4,poall5
delta,1.73214679958204e-05,1.18239539664431e-05,2.86033926614299e-06,1.33791460283957e-06,2.33246885372818e-07
theta,7.59995845400258e-06,6.21950878797041e-06,7.17191597215948e-06,8.44283428131314e-07,4.50478923605608e-07
alpha,4.21942080844283e-05,2.34680122127644e-06,5.47536781554245e-07,2.66494924664201e-06,2.36960554394192e-07
beta,1.21562194089421e-05,5.84502647997847e-06,1.61001304007763e-06,2.88639587824731e-07,5.63370776040675e-07
