Row,poall1,poall2,poall3,poall4,poall5
delta,3.75295438976023e-06,6.6051779529841e-06,6.74110969642407e-07,3.70222626571245e-07,1.49564595316015e-07
theta,6.5551952995798e-06,6.14315045320112e-07,1.014307405034e-06,2.74680784982165e-07,1.46176844578134e-07
alpha,2.74177228038389e-06,1.13764974133839e-06,4.97472693633291e-07,1.94755941314284e-07,7.8640661659752e-08
beta,3.38106654734447e-06,1.04821110056155e-06,7.21304222363011e-07,1.62726927715641e-07,9.59575566075046e-08
