Row,poall1,poall2,poall3,poall4,poall5
delta,2.17741502183076e-05,9.33464370147396e-06,2.22304327760341e-06,7.13761180733956e-07,1.51706691898931e-06
theta,1.76671931035181e-05,3.06390503619086e-06,3.96115893950857e-06,1.17920931396807e-06,8.23701333173615e-07
alpha,1.06351657213595e-05,3.04924239197951e-06,8.73968270322667e-07,1.42344832068382e-06,6.11543679427655e-07
beta,8.61613739315004e-06,2.54052510927202e-06,2.05163252099969e-06,8.05800899704929e-07,1.3795631295157e-06
