Row,poall1,poall2,poall3,poall4
delta,1.07702749590597e-05,1.62225997824849e-06,9.70652129137381e-07,5.42621739248167e-07
theta,1.55755267132979e-05,2.97845077157388e-06,1.51139854599511e-06,4.85643082655591e-07
alpha,8.50706628820833e-06,2.62951476412222e-06,1.32724487472229e-06,4.01832213076981e-07
beta,4.97192803173376e-06,1.9068005635543e-06,7.37388728657731e-07,3.40940660415171e-07
