Row,poall1,poall2,poall3,poall4,poall5
delta,0.000378289604043452,0.00010108906420715,5.24627480641991e-06,3.3109648485552e-06,1.79107150443295e-06
theta,3.58049732786556e-05,4.40375931815298e-05,5.09040573969731e-05,1.78216690735863e-06,1.96819266307717e-06
alpha,2.93027354820614e-05,4.21788754147826e-06,5.12840933492244e-06,2.01383548405431e-05,6.43704972760224e-07
beta,2.32316191918423e-05,4.87465099312228e-06,2.32657063647311e-06,5.58776962515117e-07,3.16125692428589e-06
