Row,poall1,poall2,poall3,poall4,poall5
delta,5.71475221649744e-06,3.77100117064225e-06,2.07185607845897e-06,3.85645778296821e-07,6.15530424215773e-07
theta,7.22855222544634e-06,1.58944508839443e-06,7.40410428570998e-07,1.6032963141945e-06,4.73018314261012e-07
alpha,5.5528332354235e-06,2.13350115677933e-06,6.54272131832954e-07,7.55531360473442e-07,8.69705170274474e-07
beta,5.64674352358086e-06,1.48891819852691e-06,6.80131455496025e-07,5.60979244153233e-07,7.42252657127836e-07
