Row,poall1,poall2,poall3,poall4
delta,3.62589715044098e-06,8.82370577602116e-07,4.69530569971624e-07,2.48348864692699e-07
theta,4.69341044049932e-06,1.90208632890768e-06,1.55053360220361e-06,2.2347742228301e-07
alpha,4.20816036090004e-06,2.26833296764353e-06,3.52853699209667e-07,2.09043102152216e-07
beta,9.08306715109114e-06,1.46375665733434e-06,5.58403308458107e-07,1.44832565609952e-07
