Row,poall1,poall2
delta,3.93781582424833e-06,1.24886942800964e-06
theta,5.20521333628599e-06,8.06676713599018e-07
alpha,2.03945303334033e-06,1.11227555030503e-06
beta,2.23816814641944e-06,6.29483855267957e-07
