Row,poall1,poall2,poall3,poall4,poall5
delta,1.83910849561087e-06,1.79686769094072e-06,5.87359681148255e-07,2.92394195158392e-07,3.93850767440344e-07
theta,3.80553682429983e-06,6.72462656210393e-07,6.36821254442492e-07,5.9213377798135e-07,4.0679747428616e-07
alpha,9.82946886190878e-07,1.09871812387139e-06,5.40799456870693e-07,4.39862016094777e-07,1.62156873934808e-07
beta,2.97769880655881e-06,9.73961988850618e-07,4.16044853039967e-07,1.39801473217829e-07,1.20383556549576e-07
