Row,poall1,poall2,poall3,poall4
delta,9.76559789306923e-06,2.16759512075881e-06,7.69950697064679e-07,4.06691765662843e-07
theta,1.02007417630523e-05,2.45995198322438e-06,2.54303386443154e-06,4.0796941327095e-07
alpha,9.79665877610871e-06,3.24886388159864e-06,7.54746322789667e-07,3.8389868777008e-07
beta,1.24980306049084e-05,2.47222286758058e-06,9.71111164148614e-07,2.49080522866534e-07
