Row,poall1,poall2,poall3,poall4,poall5
delta,1.41143056460197e-06,1.61690623406839e-06,9.4054199606925e-07,2.78839713604954e-07,1.9047122013741e-07
theta,9.81241724188939e-07,1.1576935003474e-06,5.42941856409908e-07,2.23449584543788e-07,1.53448663990774e-07
alpha,9.42387845471943e-07,9.08189657424771e-07,2.58735201089037e-07,2.64404541939641e-07,2.87114825994675e-07
beta,3.01029831224259e-06,1.80352104148462e-07,2.83879748931709e-07,1.51951888155502e-07,1.89221733151297e-07
